1656618822.099 089A  +16.0453A  +15.9007A  | 127.8834A  | +18.4202V    +0.0364V    +0.0000V    -0.0000V  
1656618822.554 +17.1680A  +17.2434A  +17.3185A  +17.3007A  +17.3152A  +17.1539A  +17.2368A  +17.1590A  | 137.8956A  | +18.4168V    +0.0394V    +0.0000V    -0.0000V  
1656618823.088 +18.4561A  +18.4803A  +18.5677A  +18.5614A  +18.5294A  +18.4102A  +18.4947A  +18.4086A  | 147.9083A  | +18.4132V    +0.0425V    +0.0000V    -0.0000V  
1656618823.614 +19.7522A  +19.6874A  +19.8162A  +19.8025A  +19.7456A  +19.6657A  +19.7935A  +19.6587A  | 157.9219A  | +18.4096V    +0.0455V    +0.0000V    -0.0000V  
1656618824.061 +21.0315A  +20.9186A  +21.0649A  +21.0653A  +20.9575A  +20.9165A  +21.0616A  +20.9181A  | 167.9341A  | +18.4067V    +0.0486V    +0.0000V    -0.0000V  
1656618824.592 +22.3048A  +22.1641A  +22.3197A  +22.3115A  +22.1947A  +22.1705A  +22.3174A  +22.1652A  | 177.9480A  | +18.4037V    +0.0517V    +0.0000V    -0.0000V  
1656618825.118 +23.5620A  +23.4142A  +23.5734A  +23.5664A  +23.4280A  +23.4285A  +23.5712A  +23.4197A  | 187.9635A  | +18.4014V    +0.0547V    +0.0000V    -0.0000V  
1656618825.568 +24.5845A  +24.4492A  +24.5960A  +24.5965A  +24.4851A  +24.4580A  +24.6012A  +24.4539A  | 196.2246A  | +18.3977V    +0.0575V    +0.0000V    -0.0000V  
1656618826.034 +24.9152A  +24.7919A  +24.1656618826.099 9319A  +24.9333A  +24.8194A  +24.8013A  +24.9406A  +24.7918A  | 198.9254A  | +18.3924V    +0.0590V    +0.0000V    -0.0000V  
1656618826.557 +25.0077A  +24.8877A  +25.0285A  +25.0257A  +24.9233A  +24.9033A  +25.0286A  +24.8894A  | 199.6943A  | +18.3908V    +0.0599V    +0.0000V    -0.0000V  
1656618827.078 +25.0325A  +24.9180A  +25.0552A  +25.0557A  +24.9442A  +24.9356A  +25.0531A  +24.9170A  | 199.9114A  | +18.3901V    +0.0603V    +0.0000V    -0.0000V  
1656618827.537 +25.0383A  +24.9248A1656618827.603   +25.0633A  +25.0638A  +24.9550A  +24.9447A  +25.0610A  +24.9247A  | 199.9757A  | +18.3904V    +0.0606V    +0.0000V    -0.0000V  
1656618828.055 +25.0401A  +24.9285A  +25.0636A  +25.0648A  +24.9510A  +24.9474A  +25.0666A  +24.9313A  | 199.9933A  | +18.3901V    +0.0607V    +0.0000V    -0.0000V  
1656618828.585 +25.0409A  +24.9270A  +25.0645A  +25.0651A  +24.9544A  +24.9473A  +25.0667A  +24.9329A  | 199.9988A  | +18.3885V    +0.0607V    +0.0000V    -0.0000V  
1656618829.047 +25.0415A  +24.9300A 1656618829.112  +25.0664A  +25.0664A  +24.9497A  +24.9472A  +25.0669A  +24.9316A  | 199.9996A  | +18.3890V    +0.0607V    +0.0000V    -0.0000V  
1656618829.565 +25.0381A  +24.9288A  +25.0658A  +25.0669A  +24.9595A  +24.9459A  +25.0654A  +24.9295A  | 199.9999A  | +18.3906V    +0.0608V    +0.0000V    -0.0000V  
1656618830.091 +25.0390A  +24.9309A  +25.0679A  +25.0684A  +24.9517A  +24.9462A  +25.0680A  +24.9283A  | 200.0004A  | +18.3911V    +0.0608V    +0.0000V    -0.0000V  
1656618830.558 +25.0384A  +24.9290A  +25.0659A  +25.0658A  +24.9564A  +24.9451A  +25.0718A  +24.9283A  | 200.0006A  | +18.3898V    +0.0607V    +0.0000V    -0.0000V  
1656618831.092 +25.0386A  +24.9308A  +25.0650A  +25.0670A  +24.9485A  +24.9479A  +25.0738A  +24.9285A  | 200.0001A  | +18.3882V    +0.0607V    +0.0000V    -0.0000V  
1656618831.554 +25.0386A  +24.9300A  +25.0653A  +25.0650A  +24.9545A  +24.9483A  +25.0703A  +24.9278A  | 199.9999A  | +18.3889V    +0.0607V    +0.0000V    -0.0000V  
1656618832.075 +25.0436A  +24.9326A  +25.0649A  +25.0630A  +24.9473A  +24.9479A  +25.0714A  +24.9296A  | 200.0003A  | +18.3899V    +0.0607V    +0.0000V    -0.0000V  
1656618832.539 +25.0387A  +24.9280A  +25.0656A  +25.0611A  +24.9643A  +24.941656618832.604 67A  +25.0689A  +24.9270A  | 200.0002A  | +18.3888V    +0.0607V    +0.0000V    -0.0000V  
1656618833.058 +25.0415A  +24.9299A  +25.0623A  +25.0591A  +24.9610A  +24.9469A  +25.0710A  +24.9281A  | 199.9997A  | +18.3893V    +0.0607V    +0.0000V    -0.0000V  
1656618833.586 +25.0397A  +24.9276A  +25.0599A  +25.0581A  +24.9687A  +24.9469A  +25.0710A  +24.9284A  | 200.0003A  | +18.3892V    +0.0607V    +0.0000V    -0.0000V  
1656618834.117 +25.0384A  +24.9290A  +25.0578A  +25.0610A  +24.9637A  +24.9489A  +25.0715A  +24.9299A  | 200.0002A  | +18.3895V    +0.0607V    +0.0000V    -0.0000V  
1656618834.568 +25.0362A  +24.9276A  +25.0592A  +25.0609A  +24.9676A  +24.9486A  +25.0698A  +24.9302A  | 200.0000A  | +18.3909V    +0.0607V    +0.0000V    -0.0000V  
1656618835.033 +25.0364A  +24.9298A  +25.01656618835.097 611A  +25.0615A  +24.9599A  +24.9482A  +25.0715A  +24.9314A  | 199.9999A  | +18.3912V    +0.0607V    +0.0000V    -0.0000V  
1656618835.557 +25.0380A  +24.9320A  +25.0650A  +25.0675A  +24.9435A  +24.9508A  +25.0711A  +24.9321A  | 200.0000A  | +18.3903V    +0.0607V    +0.0000V    -0.0000V  
1656618836.081 +25.0393A  +24.9334A  +25.0654A  +25.0672A  +24.9391A  +24.9511A  +25.0719A  +24.9324A  | 199.9998A  | +18.3902V    +0.0607V    +0.0000V    -0.0000V  
1656618836.544 +25.0406A  +24.93031656618836.61 A  +25.0601A  +25.0603A  +24.9610A  +24.9455A  +25.0718A  +24.9303A  | 199.9999A  | +18.3902V    +0.0607V    -0.0000V    -0.0000V  
1656618837.06 +25.0408A  +24.9313A  +25.0626A  +25.0599A  +24.9574A  +24.9468A  +25.0710A  +24.9305A  | 200.0003A  | +18.3903V    +0.0607V    -0.0000V    -0.0000V  
1656618837.584 +25.0386A  +24.9301A  +25.0626A  +25.0595A  +24.9651A  +24.9460A  +25.0690A  +24.9293A  | 200.0001A  | +18.3913V    +0.0607V    -0.0000V    -0.0000V  
1656618838.045 +25.0370A  +24.9318A1656618838.11   +25.0628A  +25.0600A  +24.9596A  +24.9485A  +25.0698A  +24.9291A  | 199.9986A  | +18.3904V    +0.0607V    -0.0000V    -0.0000V  
1656618838.561 +25.0354A  +24.9298A  +25.0645A  +25.0584A  +24.9620A  +24.9489A  +25.0703A  +24.9308A  | 200.0002A  | +18.3880V    +0.0607V    -0.0000V    -0.0000V  
1656618839.088 +25.0363A  +24.9329A  +25.0646A  +25.0573A  +24.9571A  +24.9490A  +25.0710A  +24.9319A  | 200.0002A  | +18.3884V    +0.0607V    -0.0000V    -0.0000V  
1656618839.548 +25.0391A  +24.9321A1656618839.614   +25.0601A  +25.0539A  +24.9629A  +24.9468A  +25.0722A  +24.9331A  | 200.0002A  | +18.3903V    +0.0607V    +0.0000V    -0.0000V  
1656618840.066 +25.0388A  +24.9335A  +25.0607A  +25.0556A  +24.9583A  +24.9460A  +25.0744A  +24.9332A  | 200.0006A  | +18.3906V    +0.0607V    +0.0000V    -0.0000V  
1656618840.547 +25.0368A  +24.9315A  +25.0602A  +25.05651656618840.613 A  +24.9645A  +24.9451A  +25.0738A  +24.9321A  | 200.0005A  | +18.3890V    +0.0607V    -0.0000V    -0.0000V  
1656618841.066 +25.0364A  +24.9335A  +25.0607A  +25.0644A  +24.9596A  +24.9453A  +25.0697A  +24.9304A  | 200.0000A  | +18.3874V    +0.0607V    -0.0000V    -0.0000V  
1656618841.593 +25.0351A  +24.9302A  +25.0603A  +25.0631A  +24.9645A  +24.9456A  +25.0717A  +24.9304A  | 200.0008A  | +18.3865V    +0.0607V    -0.0000V    -0.0000V  
1656618842.055 +25.0349A  +24.9318A  +25.0603A  +25.0649A  +24.9581A  +24.9486A  +25.0698A  +24.9315A  | 199.9999A  | +18.3845V    +0.0607V    +0.0000V    -0.0000V  
1656618842.586 +25.0402A  +24.9349A  +25.0681A  +25.0695A  +24.9424A  +24.9564A  +25.0522A  +24.9363A  | 199.9999A  | +18.3844V    +0.0607V    +0.0000V    -0.0000V  
1656618843.046 +25.0447A  +24.9385A  +25.0680A  +25.0713A  +24.9377A  +24.951656618843.112 72A  +25.0454A  +24.9375A  | 200.0003A  | +18.3855V    +0.0606V    +0.0000V    -0.0000V  
1656618843.566 +25.0440A  +24.9380A  +25.0713A  +25.0710A  +24.9356A  +24.9571A  +25.0454A  +24.9373A  | 199.9998A  | +18.3859V    +0.0606V    -0.0000V    -0.0000V  
1656618844.046 +25.0428A  +24.9393A  +251656618844.112 .0697A  +25.0702A  +24.9376A  +24.9570A  +25.0462A  +24.9376A  | 200.0003A  | +18.3863V    +0.0606V    +0.0000V    -0.0000V  
1656618844.564 +25.0404A  +24.9357A  +25.0656A  +25.0656A  +24.9564A  +24.9544A  +25.0443A  +24.9372A  | 199.9996A  | +18.3868V    +0.0606V    +0.0000V    -0.0000V  
1656618845.092 +25.0396A  +24.9364A  +25.0640A  +25.0653A  +24.9574A  +24.9548A  +25.0447A  +24.9378A  | 199.9999A  | +18.3883V    +0.0606V    +0.0000V    -0.0000V  
1656618845.553 +25.0374A  +24.9335A  +25.061656618845.619 33A  +25.0636A  +24.9656A  +24.9531A  +25.0457A  +24.9380A  | 200.0002A  | +18.3882V    +0.0606V    -0.0000V    -0.0000V  
1656618846.071 +25.0394A  +24.9357A  +25.0644A  +25.0617A  +24.9597A  +24.9539A  +25.0450A  +24.9404A  | 200.0003A  | +18.3896V    +0.0606V    -0.0000V    -0.0000V  
